156,6107,NURSING,,
157,6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,,
158,6109,TREATMENT THERAPY PROFESSIONS,,
159,6110,COMMUNITY AND PUBLIC HEALTH,,
160,6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,,
161,6200,GENERAL BUSINESS,,
162,6201,ACCOUNTING,,
163,6202,ACTUARIAL SCIENCE,,
164,6203,BUSINESS MANAGEMENT AND ADMINISTRATION,,
165,6204,OPERATIONS LOGISTICS AND E-COMMERCE,,
166,6205,BUSINESS ECONOMICS,,
167,6206,MARKETING AND MARKETING RESEARCH,,
168,6207,FINANCE,,
169,6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,,
170,6210,INTERNATIONAL BUSINESS,,
171,6211,HOSPITALITY MANAGEMENT,,
172,6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,,
173,6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,,
174,6402,HISTORY,,
175,6403,UNITED STATES HISTORY,,
